epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1442,1.94723,2.5836,1.75714,0.71352,0.5601,0.68159,0.54287,0.84351,1.30952,1.07417,0.000325926,0.000325926,0.0677333
2,124.281,1.32324,1.23839,1.35193,0.89096,0.8231,0.90691,0.61106,1.18736,0.85439,1.22,0.000648273,0.000648273,0.0347223
3,182.753,1.18274,0.84223,1.24911,0.97107,0.9331,0.97454,0.60704,1.344,0.70132,1.31536,0.000959509,0.000959509,0.00170025
4,240.35,1.10907,0.69891,1.222,0.95261,0.98667,0.98929,0.67627,1.17676,0.58459,1.2464,0.000950005,0.000950005,0.000950005
5,298.051,1.03045,0.63073,1.18636,0.99028,0.99733,0.99471,0.71073,1.04467,0.54274,1.18006,0.00093334,0.00093334,0.00093334
6,353.612,0.98742,0.57172,1.15573,0.9752,0.94886,0.98582,0.76482,0.90339,0.49169,1.10631,0.000916675,0.000916675,0.000916675
7,409.876,0.96117,0.53714,1.14289,0.97745,0.99283,0.99484,0.77825,0.88348,0.43971,1.07959,0.00090001,0.00090001,0.00090001
8,470.452,0.95459,0.51847,1.13156,0.98637,0.99733,0.99487,0.75944,0.8842,0.44879,1.0834,0.000883345,0.000883345,0.000883345
9,527.579,0.95408,0.50678,1.14776,0.99117,0.99733,0.995,0.76715,0.94257,0.42277,1.11188,0.00086668,0.00086668,0.00086668
10,587.316,0.93161,0.47857,1.11355,0.98853,0.99204,0.995,0.80271,0.83685,0.41276,1.06066,0.000850015,0.000850015,0.000850015
11,643.225,0.9358,0.49036,1.13405,0.98833,0.99733,0.99492,0.79425,0.83957,0.39324,1.06519,0.00083335,0.00083335,0.00083335
12,698.727,0.92135,0.48068,1.14045,0.98875,0.99733,0.99471,0.81281,0.82165,0.39616,1.05216,0.000816685,0.000816685,0.000816685
13,757.325,0.88673,0.45503,1.10408,0.9962,0.99467,0.99497,0.80988,0.83382,0.37407,1.05891,0.00080002,0.00080002,0.00080002
14,814.907,0.9043,0.45923,1.12819,0.99354,0.99467,0.99495,0.80748,0.80774,0.37282,1.05142,0.000783355,0.000783355,0.000783355
15,874.338,0.8969,0.45089,1.11724,0.99447,0.99467,0.99492,0.82317,0.79995,0.37661,1.04708,0.00076669,0.00076669,0.00076669
16,933.403,0.89917,0.44334,1.10483,0.99092,0.99733,0.995,0.79929,0.88622,0.38874,1.08256,0.000750025,0.000750025,0.000750025
17,991.237,0.88398,0.44135,1.09654,0.99285,0.99733,0.995,0.78599,0.89907,0.39034,1.08425,0.00073336,0.00073336,0.00073336
18,1050.75,0.8925,0.43706,1.11306,0.99153,0.99451,0.995,0.83654,0.75126,0.3522,1.03053,0.000716695,0.000716695,0.000716695
19,1108.89,0.89693,0.43667,1.10312,0.9961,0.99642,0.995,0.82064,0.81832,0.36403,1.05681,0.00070003,0.00070003,0.00070003
20,1169.33,0.90035,0.43495,1.10679,0.99588,0.99596,0.995,0.81618,0.77683,0.35491,1.03759,0.000683365,0.000683365,0.000683365
21,1227.24,0.87648,0.42558,1.10928,0.99654,0.99733,0.995,0.81267,0.77325,0.36001,1.03837,0.0006667,0.0006667,0.0006667
22,1286.58,0.89108,0.43376,1.11576,0.9965,0.99529,0.995,0.83144,0.77334,0.36043,1.0353,0.000650035,0.000650035,0.000650035
23,1345.21,0.86549,0.41461,1.08629,0.9968,0.99674,0.995,0.81642,0.79843,0.34865,1.04238,0.00063337,0.00063337,0.00063337
24,1406.88,0.87955,0.41501,1.0958,0.99639,0.99733,0.995,0.82232,0.79898,0.35817,1.04331,0.000616705,0.000616705,0.000616705
25,1465.99,0.84958,0.40682,1.08549,0.99637,0.99648,0.995,0.82588,0.80625,0.35421,1.04332,0.00060004,0.00060004,0.00060004
26,1526.48,0.86317,0.40804,1.08146,0.99711,0.99559,0.995,0.82969,0.78129,0.35147,1.03272,0.000583375,0.000583375,0.000583375
27,1584.72,0.85934,0.41799,1.08291,0.99767,0.99558,0.995,0.82731,0.7851,0.34535,1.04121,0.00056671,0.00056671,0.00056671
28,1647.86,0.85729,0.41223,1.0949,0.99688,0.99497,0.995,0.83968,0.76967,0.35114,1.03178,0.000550045,0.000550045,0.000550045
29,1706.89,0.8497,0.40554,1.08363,0.99512,0.99733,0.995,0.82351,0.77473,0.34825,1.03059,0.00053338,0.00053338,0.00053338
30,1767.8,0.8595,0.40889,1.09421,0.99298,0.99733,0.995,0.8413,0.75829,0.33977,1.02666,0.000516715,0.000516715,0.000516715
31,1828.57,0.84148,0.40275,1.09143,0.99692,0.99613,0.995,0.83579,0.74942,0.33383,1.02885,0.00050005,0.00050005,0.00050005
32,1888.85,0.84675,0.40512,1.08744,0.9972,0.99577,0.995,0.83438,0.75694,0.33523,1.03165,0.000483385,0.000483385,0.000483385
33,1947.42,0.85948,0.39852,1.10008,0.99754,0.99732,0.995,0.8411,0.75462,0.34296,1.02359,0.00046672,0.00046672,0.00046672
34,2006.66,0.84526,0.40046,1.07468,0.99623,0.99621,0.995,0.85125,0.74559,0.33894,1.0203,0.000450055,0.000450055,0.000450055
35,2068.66,0.83957,0.3938,1.07561,0.99835,0.99547,0.995,0.84303,0.74088,0.33173,1.02293,0.00043339,0.00043339,0.00043339
36,2127.92,0.83948,0.39108,1.07985,0.99672,0.99572,0.995,0.84689,0.73951,0.32594,1.01582,0.000416725,0.000416725,0.000416725
37,2187.64,0.83872,0.39149,1.08812,0.98659,0.99546,0.995,0.84139,0.75534,0.3285,1.02177,0.00040006,0.00040006,0.00040006
38,2246.67,0.84454,0.39525,1.0806,0.99732,0.99549,0.995,0.84038,0.74554,0.32699,1.0213,0.000383395,0.000383395,0.000383395
39,2307.89,0.83765,0.39087,1.09121,0.99474,0.99487,0.995,0.84898,0.75161,0.32905,1.02261,0.00036673,0.00036673,0.00036673
40,2368.85,0.8334,0.39135,1.07949,0.99492,0.99511,0.995,0.83188,0.78992,0.33959,1.04264,0.000350065,0.000350065,0.000350065
41,2427.65,0.83122,0.38036,1.06529,0.99796,0.99353,0.995,0.84616,0.76069,0.32953,1.02382,0.0003334,0.0003334,0.0003334
42,2490.42,0.83135,0.38643,1.07946,0.99756,0.99591,0.995,0.8361,0.7776,0.32685,1.03118,0.000316735,0.000316735,0.000316735
