                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2519,                 4.5003,                 2.2857,                0.22735,                0.15701,                0.15123,                0.11461,                 1.6094,                 4.7339,                  1.782,                0.06755,             0.00032778,             0.00032778
                      2,                 2.1304,                 3.5437,                  2.154,                0.87106,                 0.3774,                0.44283,                0.28965,                 1.7391,                 3.9443,                 1.8471,               0.034546,              0.0006567,              0.0006567
                      3,                   1.99,                 2.7777,                  2.006,                0.98774,                0.52599,                0.61321,                0.41048,                 1.8048,                 2.6497,                 1.7781,              0.0015367,             0.00098119,             0.00098119
                      4,                 1.8182,                 2.3564,                 1.8344,                0.81424,                   0.55,                 0.5597,                0.31309,                 1.8392,                 2.6999,                 1.7729,                0.00098,                0.00098,                0.00098
                      5,                 1.6873,                 1.9977,                 1.6949,                0.87288,                0.58333,                0.62921,                0.29357,                 1.9843,                 2.4267,                 1.8886,                0.00098,                0.00098,                0.00098
                      6,                 1.5528,                 1.7112,                 1.6201,                0.57746,                0.51488,                0.58959,                  0.328,                  1.917,                 2.2005,                 1.7595,             0.00097334,             0.00097334,             0.00097334
                      7,                 1.5983,                 1.7495,                  1.763,                0.59111,                0.63718,                0.66602,                0.36598,                 1.7083,                 1.8596,                  1.755,             0.00096667,             0.00096667,             0.00096667
                      8,                 1.6276,                 1.6842,                 1.7779,                0.67845,                0.78333,                0.70701,                0.34663,                 1.8627,                  1.702,                 1.7808,                0.00096,                0.00096,                0.00096
                      9,                 1.5221,                 1.4721,                 1.6278,                0.75583,                0.90882,                0.82504,                0.39404,                 1.9552,                 1.4522,                 1.7876,             0.00095334,             0.00095334,             0.00095334
                     10,                 1.4764,                 1.3883,                 1.5752,                0.64483,                0.78495,                0.76451,                0.35886,                 1.8818,                 1.4605,                 1.7496,             0.00094667,             0.00094667,             0.00094667
                     11,                 1.4857,                 1.3676,                 1.6033,                0.71447,                0.88333,                0.79643,                0.40253,                  1.747,                 1.4782,                 1.7015,             0.00094001,             0.00094001,             0.00094001
                     12,                 1.4431,                 1.2415,                  1.537,                0.74379,                0.81671,                0.86441,                0.42431,                 1.8951,                 1.3082,                 1.6181,             0.00093334,             0.00093334,             0.00093334
                     13,                 1.3765,                 1.1812,                 1.4846,                0.88995,                0.76203,                0.90479,                0.43082,                 1.8582,                 1.3344,                 1.7018,             0.00092667,             0.00092667,             0.00092667
                     14,                 1.4221,                 1.2358,                 1.5422,                0.85484,                0.79204,                0.89587,                0.42532,                 2.0016,                 1.2493,                 1.7463,             0.00092001,             0.00092001,             0.00092001
                     15,                  1.398,                 1.2453,                 1.5247,                0.78075,                0.90459,                0.86974,                0.42049,                 1.8789,                  1.172,                 1.6224,             0.00091334,             0.00091334,             0.00091334
